Id,Name,ProductLicense__c,ProductLicense__r.Name,Query__c
a00DK000006p3doYAA,default,a03DK00000ZZWffYAH,Customer Community Plus for Communications Cloud - Advanced - EE - Logins,
a00DK000006p3dpYAA,default,a03DK00000ZZWfgYAH,CRM Analytics for Communications Cloud - Enterprise Edition,
a00DK000006p3dqYAA,Default,a03DK00000ZZWfcYAH,Communications Cloud Advanced - Sales & Service - Enterprise Edition,
a00DK000006p3drYAA,default,a03DK00000ZZWfbYAH,Communications Cloud Advanced - Sales & Service - EE (Restricted Use),
a00DK000006p3dsYAA,default,a03DK00000ZZWfdYAH,Contract Lifecycle Management for Communications Cloud - EE,
a00DK000006p3dtYAA,default,a03DK00000ZZWfeYAH,Communications Cloud Growth - Sales & Service - Enterprise Edition,
a00DK000006p3duYAA,default,a03DK00000ZZWfhYAH,Partner Community for Communications Cloud Advanced - EE - Members,
a00DK000006p3ihYAA,default,a03DK00000ZZWkdYAH,Customer Community Plus for Communications Cloud - Advanced - EE - Logins,
a00DK000006p3icYAA,default,a03DK00000ZZWkYYAX,Partner Community for Communications Cloud Advanced - EE - Members,
a00DK000006p3i3YAA,default,a03DK00000ZZWkiYAH,Knowledge,
a00DK000006p3iXYAQ,default,a03DK00000ZZWkTYAX,Communications Cloud Advanced - Sales & Service  EE (Restricted Use),
